activation,batch_size,candidate_name,depth,epochs,final_epochs,learning_rate,mu_in_preview,mu_ref_preview,mu_schedule_kind,phase,replicate,rho,rho_in_preview,rho_ref_preview,run_id,run_rel_dir,seed,training_contexts
silu,1,delayed_log_1_5,3,130,10,0.001,1.0|0.996459|0.990016|0.981735|0.972019|...|0.01,1.0|0.996459|0.990016|0.981735|0.972019|...|0.0,delayed_log_1_5,mu_schedule,3,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_1_5_rep03,runs/full/mu_schedule/delayed_log_1_5/rep03,94003,100
silu,1,delayed_log_1_5,3,130,10,0.001,1.0|0.996459|0.990016|0.981735|0.972019|...|0.01,1.0|0.996459|0.990016|0.981735|0.972019|...|0.0,delayed_log_1_5,mu_schedule,4,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_1_5_rep04,runs/full/mu_schedule/delayed_log_1_5/rep04,94004,100
silu,1,delayed_log_1_5,3,130,10,0.001,1.0|0.996459|0.990016|0.981735|0.972019|...|0.01,1.0|0.996459|0.990016|0.981735|0.972019|...|0.0,delayed_log_1_5,mu_schedule,5,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_1_5_rep05,runs/full/mu_schedule/delayed_log_1_5/rep05,94005,100
silu,1,delayed_log_1_5,3,130,10,0.001,1.0|0.996459|0.990016|0.981735|0.972019|...|0.01,1.0|0.996459|0.990016|0.981735|0.972019|...|0.0,delayed_log_1_5,mu_schedule,6,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_1_5_rep06,runs/full/mu_schedule/delayed_log_1_5/rep06,94006,100
silu,1,delayed_log_2_0,3,130,10,0.001,1.0|0.999675|0.9987|0.997077|0.99481|...|0.01,1.0|0.999675|0.9987|0.997077|0.99481|...|0.0,delayed_log_2_0,mu_schedule,1,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_2_0_rep01,runs/full/mu_schedule/delayed_log_2_0/rep01,94001,100
silu,1,delayed_log_2_0,3,130,10,0.001,1.0|0.999675|0.9987|0.997077|0.99481|...|0.01,1.0|0.999675|0.9987|0.997077|0.99481|...|0.0,delayed_log_2_0,mu_schedule,2,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_2_0_rep02,runs/full/mu_schedule/delayed_log_2_0/rep02,94002,100
silu,1,delayed_log_2_0,3,130,10,0.001,1.0|0.999675|0.9987|0.997077|0.99481|...|0.01,1.0|0.999675|0.9987|0.997077|0.99481|...|0.0,delayed_log_2_0,mu_schedule,3,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_2_0_rep03,runs/full/mu_schedule/delayed_log_2_0/rep03,94003,100
silu,1,delayed_log_2_0,3,130,10,0.001,1.0|0.999675|0.9987|0.997077|0.99481|...|0.01,1.0|0.999675|0.9987|0.997077|0.99481|...|0.0,delayed_log_2_0,mu_schedule,4,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_2_0_rep04,runs/full/mu_schedule/delayed_log_2_0/rep04,94004,100
silu,1,delayed_log_2_0,3,130,10,0.001,1.0|0.999675|0.9987|0.997077|0.99481|...|0.01,1.0|0.999675|0.9987|0.997077|0.99481|...|0.0,delayed_log_2_0,mu_schedule,5,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_2_0_rep05,runs/full/mu_schedule/delayed_log_2_0/rep05,94005,100
silu,1,delayed_log_2_0,3,130,10,0.001,1.0|0.999675|0.9987|0.997077|0.99481|...|0.01,1.0|0.999675|0.9987|0.997077|0.99481|...|0.0,delayed_log_2_0,mu_schedule,6,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_2_0_rep06,runs/full/mu_schedule/delayed_log_2_0/rep06,94006,100
silu,1,warmup20_geometric,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,mu_schedule,1,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_warmup20_geometric_rep01,runs/full/mu_schedule/warmup20_geometric/rep01,94001,100
silu,1,warmup20_geometric,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,mu_schedule,2,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_warmup20_geometric_rep02,runs/full/mu_schedule/warmup20_geometric/rep02,94002,100
silu,1,warmup20_geometric,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,mu_schedule,3,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_warmup20_geometric_rep03,runs/full/mu_schedule/warmup20_geometric/rep03,94003,100
silu,1,warmup20_geometric,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,mu_schedule,4,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_warmup20_geometric_rep04,runs/full/mu_schedule/warmup20_geometric/rep04,94004,100
silu,1,warmup20_geometric,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,mu_schedule,5,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_warmup20_geometric_rep05,runs/full/mu_schedule/warmup20_geometric/rep05,94005,100
silu,1,warmup20_geometric,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,mu_schedule,6,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_warmup20_geometric_rep06,runs/full/mu_schedule/warmup20_geometric/rep06,94006,100
