activation,batch_size,candidate_name,depth,display_loss,epoch,epoch_seconds,iterations,mu,mu_in,mu_ref,mu_schedule_kind,phase,replicate,rho,rho_in,rho_ref,run_id,seed,training_loss
silu,1,warmup20_geometric,3,1789.4671493783846,1,97.17519187927246,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,1789.4671493783846
silu,1,warmup20_geometric,3,931.7365042029472,2,29.766418933868408,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,931.7365042029472
silu,1,warmup20_geometric,3,921.5388351549618,3,30.17310404777527,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,921.5388351549618
silu,1,warmup20_geometric,3,919.5015408435394,4,28.697371006011963,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,919.5015408435394
silu,1,warmup20_geometric,3,918.6823608341774,5,26.994238138198853,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,918.6823608341774
silu,1,warmup20_geometric,3,917.9874745178964,6,27.98993992805481,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,917.9874745178964
silu,1,warmup20_geometric,3,917.519102724256,7,28.130239009857178,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,917.519102724256
silu,1,warmup20_geometric,3,917.2178412925299,8,27.15238904953003,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,917.2178412925299
silu,1,warmup20_geometric,3,916.9671730371167,9,29.215548038482666,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,916.9671730371167
silu,1,warmup20_geometric,3,916.7697716403268,10,28.27995800971985,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,916.7697716403268
silu,1,warmup20_geometric,3,916.6140544704032,11,27.855848789215088,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,916.6140544704032
silu,1,warmup20_geometric,3,916.4732951120411,12,27.8629629611969,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,916.4732951120411
silu,1,warmup20_geometric,3,916.3537883004635,13,26.847129821777344,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,916.3537883004635
silu,1,warmup20_geometric,3,916.2430851420986,14,28.462125062942505,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,916.2430851420986
silu,1,warmup20_geometric,3,916.1475213812623,15,28.403037071228027,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,916.1475213812623
silu,1,warmup20_geometric,3,916.0539953062241,16,27.143617153167725,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,916.0539953062241
silu,1,warmup20_geometric,3,915.9706513407274,17,28.504204988479614,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,915.9706513407274
silu,1,warmup20_geometric,3,915.8852012957537,18,27.737972021102905,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,915.8852012957537
silu,1,warmup20_geometric,3,915.8008129201669,19,28.174124002456665,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,915.8008129201669
silu,1,warmup20_geometric,3,915.7200037542268,20,27.680613040924072,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,915.7200037542268
silu,1,warmup20_geometric,3,934.0237430831443,21,28.681713104248047,100,0.954992586021436,0.954992586021436,0.954992586021436,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,934.0237430831443
silu,1,warmup20_geometric,3,950.7095100786348,22,28.463366985321045,100,0.9120108393559098,0.9120108393559098,0.9120108393559098,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,950.7095100786348
silu,1,warmup20_geometric,3,965.8882875703077,23,27.09944200515747,100,0.8709635899560807,0.8709635899560807,0.8709635899560807,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,965.8882875703077
silu,1,warmup20_geometric,3,979.6594715834782,24,28.147114992141724,100,0.831763771102671,0.831763771102671,0.831763771102671,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,979.6594715834782
silu,1,warmup20_geometric,3,992.1271625733458,25,27.13133406639099,100,0.7943282347242815,0.7943282347242815,0.7943282347242815,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,992.1271625733458
silu,1,warmup20_geometric,3,1003.357307480683,26,27.45051097869873,100,0.7585775750291838,0.7585775750291838,0.7585775750291838,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,1003.357307480683
silu,1,warmup20_geometric,3,1013.4417674535667,27,28.474491834640503,100,0.7244359600749901,0.7244359600749901,0.7244359600749901,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,1013.4417674535667
silu,1,warmup20_geometric,3,1022.333278374552,28,27.425742864608765,100,0.6918309709189365,0.6918309709189365,0.6918309709189365,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,1022.333278374552
silu,1,warmup20_geometric,3,1030.4124073484804,29,28.057047843933105,100,0.660693448007596,0.660693448007596,0.660693448007596,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,1030.4124073484804
silu,1,warmup20_geometric,3,1037.5944099750816,30,27.604165077209473,100,0.6309573444801932,0.6309573444801932,0.6309573444801932,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,1037.5944099750816
silu,1,warmup20_geometric,3,1043.651847659046,31,28.429845094680786,100,0.6025595860743578,0.6025595860743578,0.6025595860743578,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,1043.651847659046
silu,1,warmup20_geometric,3,1049.1268173262342,32,27.78393316268921,100,0.5754399373371569,0.5754399373371569,0.5754399373371569,warmup20_geometric,mu_schedule,3,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep03,94003,1049.1268173262342
