activation,batch_size,candidate_name,checkpoint_interval,data_seed,depth,group,hidden_size,knn_k,learning_rate,loss_kind,model_seed,mu_in_preview,mu_ref_preview,nr_scenarios,replicate,reset_optimizer_each_epoch,rho,rho_in_preview,rho_ref_preview,run_id,run_rel_dir,schedule_kind,stage_epochs,test_seed,total_epochs,training_contexts,training_seed
silu,1,standard,10,202665051,4,00_baseline,128,0,0.001,dfl,202665052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,6,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_00_baseline_standard_rep06,full/00_baseline/standard/rep06,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202665053
silu,1,persistent_adam,10,202665051,4,00_baseline,128,0,0.001,dfl,202665052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,6,false,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_00_baseline_persistent_adam_rep06,full/00_baseline/persistent_adam/rep06,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202665053
silu,1,standard,10,202675051,4,00_baseline,128,0,0.001,dfl,202675052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,7,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_00_baseline_standard_rep07,full/00_baseline/standard/rep07,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202675053
silu,1,persistent_adam,10,202675051,4,00_baseline,128,0,0.001,dfl,202675052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,7,false,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_00_baseline_persistent_adam_rep07,full/00_baseline/persistent_adam/rep07,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202675053
silu,1,standard,10,202685051,4,00_baseline,128,0,0.001,dfl,202685052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,8,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_00_baseline_standard_rep08,full/00_baseline/standard/rep08,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202685053
silu,1,persistent_adam,10,202685051,4,00_baseline,128,0,0.001,dfl,202685052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,8,false,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_00_baseline_persistent_adam_rep08,full/00_baseline/persistent_adam/rep08,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202685053
silu,1,standard,10,202695051,4,00_baseline,128,0,0.001,dfl,202695052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,9,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_00_baseline_standard_rep09,full/00_baseline/standard/rep09,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202695053
silu,1,persistent_adam,10,202695051,4,00_baseline,128,0,0.001,dfl,202695052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,9,false,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_00_baseline_persistent_adam_rep09,full/00_baseline/persistent_adam/rep09,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202695053
silu,1,standard,10,202705051,4,00_baseline,128,0,0.001,dfl,202705052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,10,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_00_baseline_standard_rep10,full/00_baseline/standard/rep10,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202705053
silu,1,persistent_adam,10,202705051,4,00_baseline,128,0,0.001,dfl,202705052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,10,false,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_00_baseline_persistent_adam_rep10,full/00_baseline/persistent_adam/rep10,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202705053
