activation,batch_size,candidate_name,depth,display_loss,epoch,epoch_seconds,iterations,mu,mu_in,mu_ref,mu_schedule_kind,phase,replicate,rho,rho_in,rho_ref,run_id,seed,training_loss
relu,1,depth3,3,1937.8462421276067,1,86.25132203102112,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,1937.8462421276067
relu,1,depth3,3,1003.19589483238,2,28.677199125289917,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,1003.19589483238
relu,1,depth3,3,981.2245059609645,3,28.628791093826294,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,981.2245059609645
relu,1,depth3,3,977.2265641661378,4,27.876617193222046,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,977.2265641661378
relu,1,depth3,3,976.7028911792294,5,28.896603107452393,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,976.7028911792294
relu,1,depth3,3,977.2390072234517,6,28.892446041107178,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,977.2390072234517
relu,1,depth3,3,977.1537403515343,7,28.80669403076172,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,977.1537403515343
relu,1,depth3,3,977.0735719106048,8,28.33559513092041,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,977.0735719106048
relu,1,depth3,3,976.9870057607305,9,28.725866079330444,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,976.9870057607305
relu,1,depth3,3,976.527101115347,10,28.40490698814392,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,976.527101115347
relu,1,depth3,3,975.8564279075267,11,29.005021810531616,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,975.8564279075267
relu,1,depth3,3,974.577478598249,12,27.597278833389282,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,974.577478598249
relu,1,depth3,3,973.1546665220013,13,28.44085383415222,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,973.1546665220013
relu,1,depth3,3,971.3653649668445,14,28.928802013397217,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,971.3653649668445
relu,1,depth3,3,969.2011747343568,15,28.434731006622314,100,1.0,1.0,1.0,discrete,depth,2,0.0,0.0,0.0,full_depth_depth3_rep02,94002,969.2011747343568
