config_batch_size,config_context_terms,config_demand_power,config_depth,config_dropout,config_epochs,config_hidden_size,config_learning_rate,config_loss,config_mu,config_n_samples,config_rho,config_run_id,config_seed,config_sigma,config_solver,config_test_fraction,config_tolerance_absolute_floor,config_tolerance_relative,config_validation_fraction
32,3,1.0,3,0.1,100,128,0.0001,mse_scen,0.0,2000,0.0,run_0042_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,128,0.0001,mse_scen,0.0,2000,0.0,run_0043_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,128,0.0001,mse_scen,0.0,2000,0.0,run_0044_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,128,0.0001,mse_scen,0.0,2000,0.0,run_0045_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,128,0.0001,mse_scen,0.0,2000,0.0,run_0046_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,128,0.0001,mse_scen,0.0,2000,0.0,run_0047_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,128,0.0001,mse_scen,0.0,2000,0.0,run_0048_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0049_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0050_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0051_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0052_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0053_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0054_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0055_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0056_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0057_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0058_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0059_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0060_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0061_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0062_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0063_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0064_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0065_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0066_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0067_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0068_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0069_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0070_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0071_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,256,0.0001,mse_scen,0.0,2000,0.0,run_0072_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
