activation,batch_size,candidate_name,data_seed,depth,display_loss,epoch,epoch_seconds,group,hidden_size,iterations,knn_k,loss_kind,model_seed,mu,mu_in,mu_ref,nr_scenarios,replicate,reset_optimizer_each_epoch,rho,rho_in,rho_ref,run_id,schedule_kind,training_loss,training_seed
silu,1,k2,202615051,4,1770.2736032874113,1,113.18626713752747,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,1770.2736032874113,202615053
silu,1,k2,202615051,4,998.4234112423804,2,30.87400984764099,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,998.4234112423804,202615053
silu,1,k2,202615051,4,991.1175596723413,3,31.483901023864746,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,991.1175596723413,202615053
silu,1,k2,202615051,4,989.6061990624389,4,31.246109008789062,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,989.6061990624389,202615053
silu,1,k2,202615051,4,991.342289593327,5,31.62431311607361,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,991.342289593327,202615053
silu,1,k2,202615051,4,988.8036601879206,6,32.02440810203552,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,988.8036601879206,202615053
silu,1,k2,202615051,4,988.6990846006669,7,31.000967025756836,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,988.6990846006669,202615053
silu,1,k2,202615051,4,987.6853142157389,8,31.33947205543518,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,987.6853142157389,202615053
silu,1,k2,202615051,4,987.0942335285221,9,30.969204902648926,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,987.0942335285221,202615053
silu,1,k2,202615051,4,986.4644503007289,10,31.287822008132935,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,986.4644503007289,202615053
silu,1,k2,202615051,4,985.9332130754035,11,31.895878076553345,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,985.9332130754035,202615053
silu,1,k2,202615051,4,985.4906935418734,12,31.872251987457275,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,985.4906935418734,202615053
silu,1,k2,202615051,4,985.2288093116091,13,30.945581912994385,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,985.2288093116091,202615053
silu,1,k2,202615051,4,985.0674687586668,14,30.223220109939575,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,985.0674687586668,202615053
silu,1,k2,202615051,4,984.9534400682511,15,31.261136054992676,05_knn_equilibration,128,100,2,dfl,202615052,1.0,1.0,1.0,1,1,true,0.0,0.0,0.0,full_05_knn_equilibration_k2_rep01,baseline,984.9534400682511,202615053
