attempt_id,run_id,phase,candidate_name,replicate,worker_id,hostname,pid,started_at
full_depth_screen_depth20_rep01_attempt1778007893409_w2,full_depth_screen_depth20_rep01,depth,depth20,1,2,instance-20260501-084214,953792,1778007893409
full_depth_screen_depth20_rep01_attempt1778008188828_w2,full_depth_screen_depth20_rep01,depth,depth20,1,2,instance-20260501-084214,956127,1778008188828
full_depth_screen_depth3_rep02_attempt1778009019291_w2,full_depth_screen_depth3_rep02,depth,depth3,2,2,instance-20260501-084214,956127,1778009019291
full_depth_screen_depth4_rep02_attempt1778009030447_w3,full_depth_screen_depth4_rep02,depth,depth4,2,3,instance-20260501-133020,1954632,1778009030447
full_depth_screen_depth10_rep02_attempt1778009030471_w5,full_depth_screen_depth10_rep02,depth,depth10,2,5,instance-20260501-133020,1954643,1778009030471
full_depth_screen_depth20_rep02_attempt1778009030556_w6,full_depth_screen_depth20_rep02,depth,depth20,2,6,instance-20260501-133020,1954644,1778009030556
full_depth_screen_depth5_rep02_attempt1778009031021_w4,full_depth_screen_depth5_rep02,depth,depth5,2,4,instance-20260501-133020,1954642,1778009031021
full_depth_final_depth3_rep01_attempt1778009922381_w2,full_depth_final_depth3_rep01,depth,depth3,1,2,instance-20260501-084214,956127,1778009922381
full_depth_final_depth3_rep02_attempt1778009922404_w3,full_depth_final_depth3_rep02,depth,depth3,2,3,instance-20260501-133020,1954632,1778009922404
full_depth_final_depth3_rep03_attempt1778009922405_w4,full_depth_final_depth3_rep03,depth,depth3,3,4,instance-20260501-133020,1954642,1778009922405
full_depth_final_depth3_rep04_attempt1778009922405_w5,full_depth_final_depth3_rep04,depth,depth3,4,5,instance-20260501-133020,1954643,1778009922405
full_depth_final_depth3_rep05_attempt1778009922408_w6,full_depth_final_depth3_rep05,depth,depth3,5,6,instance-20260501-133020,1954644,1778009922408
full_depth_final_depth10_rep02_attempt1778009942899_w9,full_depth_final_depth10_rep02,depth,depth10,2,9,instance-20260501-084214,956501,1778009942899
full_depth_final_depth3_rep06_attempt1778009943334_w7,full_depth_final_depth3_rep06,depth,depth3,6,7,instance-20260501-084214,956499,1778009943334
full_depth_final_depth10_rep05_attempt1778009944852_w12,full_depth_final_depth10_rep05,depth,depth10,5,12,instance-20260501-084214,956504,1778009944852
full_depth_final_depth10_rep04_attempt1778009945609_w11,full_depth_final_depth10_rep04,depth,depth10,4,11,instance-20260501-084214,956503,1778009945609
full_depth_final_depth10_rep06_attempt1778009945877_w13,full_depth_final_depth10_rep06,depth,depth10,6,13,instance-20260501-084214,956505,1778009945877
full_depth_final_depth10_rep01_attempt1778009946099_w8,full_depth_final_depth10_rep01,depth,depth10,1,8,instance-20260501-084214,956500,1778009946099
full_depth_final_depth10_rep03_attempt1778009946403_w10,full_depth_final_depth10_rep03,depth,depth10,3,10,instance-20260501-084214,956502,1778009946403
full_depth_final_depth10_rep02_attempt1778014066509_w5,full_depth_final_depth10_rep02,depth,depth10,2,5,instance-20260501-133020,2046957,1778014066509
full_depth_final_depth10_rep01_attempt1778014066508_w4,full_depth_final_depth10_rep01,depth,depth10,1,4,instance-20260501-133020,2046956,1778014066508
full_depth_final_depth10_rep03_attempt1778014066567_w6,full_depth_final_depth10_rep03,depth,depth10,3,6,instance-20260501-133020,2046958,1778014066567
full_depth_final_depth3_rep06_attempt1778014066609_w3,full_depth_final_depth3_rep06,depth,depth3,6,3,instance-20260501-133020,2046948,1778014066609
full_depth_final_depth10_rep05_attempt1778014066935_w8,full_depth_final_depth10_rep05,depth,depth10,5,8,instance-20260501-084214,1068506,1778014066935
full_depth_final_depth10_rep06_attempt1778014066976_w9,full_depth_final_depth10_rep06,depth,depth10,6,9,instance-20260501-084214,1068507,1778014066976
full_depth_final_depth10_rep04_attempt1778014067607_w7,full_depth_final_depth10_rep04,depth,depth10,4,7,instance-20260501-084214,1068505,1778014067607
full_depth_final_depth3_rep01_attempt1778014075038_w2,full_depth_final_depth3_rep01,depth,depth3,1,2,instance-20260501-084214,1068493,1778014075038
full_width_screen_width32_rep01_attempt1778016457477_w2,full_width_screen_width32_rep01,width,width32,1,2,instance-20260501-084214,1068493,1778016457477
full_width_screen_width512_rep01_attempt1778016457500_w6,full_width_screen_width512_rep01,width,width512,1,6,instance-20260501-133020,2046958,1778016457500
full_width_screen_width256_rep01_attempt1778016457500_w5,full_width_screen_width256_rep01,width,width256,1,5,instance-20260501-133020,2046957,1778016457500
full_width_screen_width64_rep01_attempt1778016457500_w3,full_width_screen_width64_rep01,width,width64,1,3,instance-20260501-133020,2046948,1778016457500
full_width_screen_width128_rep01_attempt1778016457502_w4,full_width_screen_width128_rep01,width,width128,1,4,instance-20260501-133020,2046956,1778016457502
full_width_screen_width32_rep02_attempt1778017237568_w2,full_width_screen_width32_rep02,width,width32,2,2,instance-20260501-084214,1068493,1778017237568
full_width_screen_width64_rep02_attempt1778017237571_w3,full_width_screen_width64_rep02,width,width64,2,3,instance-20260501-133020,2046948,1778017237571
full_width_screen_width128_rep02_attempt1778017237571_w4,full_width_screen_width128_rep02,width,width128,2,4,instance-20260501-133020,2046956,1778017237571
full_width_screen_width256_rep02_attempt1778017237572_w5,full_width_screen_width256_rep02,width,width256,2,5,instance-20260501-133020,2046957,1778017237572
full_width_screen_width512_rep02_attempt1778017237572_w6,full_width_screen_width512_rep02,width,width512,2,6,instance-20260501-133020,2046958,1778017237572
full_width_final_width32_rep01_attempt1778017958208_w2,full_width_final_width32_rep01,width,width32,1,2,instance-20260501-084214,1068493,1778017958208
full_width_final_width32_rep02_attempt1778017958211_w3,full_width_final_width32_rep02,width,width32,2,3,instance-20260501-133020,2046948,1778017958211
full_width_final_width32_rep03_attempt1778017958211_w4,full_width_final_width32_rep03,width,width32,3,4,instance-20260501-133020,2046956,1778017958211
full_width_final_width32_rep04_attempt1778017958211_w5,full_width_final_width32_rep04,width,width32,4,5,instance-20260501-133020,2046957,1778017958211
full_width_final_width32_rep05_attempt1778017958212_w6,full_width_final_width32_rep05,width,width32,5,6,instance-20260501-133020,2046958,1778017958212
full_width_final_width32_rep06_attempt1778017958234_w7,full_width_final_width32_rep06,width,width32,6,7,instance-20260501-084214,1068505,1778017958234
full_width_final_width512_rep01_attempt1778017958234_w8,full_width_final_width512_rep01,width,width512,1,8,instance-20260501-084214,1068506,1778017958234
full_width_final_width512_rep02_attempt1778017958259_w9,full_width_final_width512_rep02,width,width512,2,9,instance-20260501-084214,1068507,1778017958259
full_width_final_width512_rep06_attempt1778017979411_w13,full_width_final_width512_rep06,width,width512,6,13,instance-20260501-084214,1068516,1778017979411
full_width_final_width512_rep05_attempt1778017981137_w12,full_width_final_width512_rep05,width,width512,5,12,instance-20260501-084214,1068514,1778017981137
full_width_final_width512_rep03_attempt1778017981296_w10,full_width_final_width512_rep03,width,width512,3,10,instance-20260501-084214,1068508,1778017981296
full_width_final_width512_rep04_attempt1778017981754_w11,full_width_final_width512_rep04,width,width512,4,11,instance-20260501-084214,1068509,1778017981754
full_schedule_shape_screen_piecewise_linear_rep01_attempt1778021920376_w2,full_schedule_shape_screen_piecewise_linear_rep01,schedule_shape,piecewise_linear,1,2,instance-20260501-084214,1068493,1778021920376
full_schedule_shape_screen_early_quadratic_rep01_attempt1778021920380_w7,full_schedule_shape_screen_early_quadratic_rep01,schedule_shape,early_quadratic,1,7,instance-20260501-084214,1068505,1778021920380
full_schedule_shape_screen_linear_rep01_attempt1778021920408_w3,full_schedule_shape_screen_linear_rep01,schedule_shape,linear,1,3,instance-20260501-133020,2046948,1778021920408
full_schedule_shape_screen_cosine_rep01_attempt1778021920408_w5,full_schedule_shape_screen_cosine_rep01,schedule_shape,cosine,1,5,instance-20260501-133020,2046957,1778021920408
full_schedule_shape_screen_delayed_quadratic_rep01_attempt1778021920408_w6,full_schedule_shape_screen_delayed_quadratic_rep01,schedule_shape,delayed_quadratic,1,6,instance-20260501-133020,2046958,1778021920408
full_schedule_shape_screen_geometric_rep01_attempt1778021920408_w4,full_schedule_shape_screen_geometric_rep01,schedule_shape,geometric,1,4,instance-20260501-133020,2046956,1778021920408
full_schedule_shape_screen_piecewise_linear_rep02_attempt1778022760503_w2,full_schedule_shape_screen_piecewise_linear_rep02,schedule_shape,piecewise_linear,2,2,instance-20260501-084214,1068493,1778022760503
full_schedule_shape_screen_early_quadratic_rep02_attempt1778022760504_w7,full_schedule_shape_screen_early_quadratic_rep02,schedule_shape,early_quadratic,2,7,instance-20260501-084214,1068505,1778022760504
full_schedule_shape_screen_linear_rep02_attempt1778022760507_w3,full_schedule_shape_screen_linear_rep02,schedule_shape,linear,2,3,instance-20260501-133020,2046948,1778022760507
full_schedule_shape_screen_delayed_quadratic_rep02_attempt1778022760507_w6,full_schedule_shape_screen_delayed_quadratic_rep02,schedule_shape,delayed_quadratic,2,6,instance-20260501-133020,2046958,1778022760507
full_schedule_shape_screen_cosine_rep02_attempt1778022760507_w5,full_schedule_shape_screen_cosine_rep02,schedule_shape,cosine,2,5,instance-20260501-133020,2046957,1778022760507
