attempt_id,run_id,phase,candidate_name,replicate,epoch,mu,mu_in,mu_ref,rho_in,rho_ref,iterations,epoch_seconds,training_loss,display_loss,training_contexts,epochs,depth,hidden_size,schedule_kind,seed,worker_id,hostname,created_at
full_data_amount_n100_rep03_attempt1777993803163_w6,full_data_amount_n100_rep03,data_amount,n100,3,4,1.0,1.0,1.0,0.0,0.0,100,11.180461883544922,973.0933018370357,973.0933018370357,100,130,3,128,piecewise_linear,95003,6,instance-20260501-084214,1777993900720
full_data_amount_n100_rep01_attempt1777993799672_w3,full_data_amount_n100_rep01,data_amount,n100,1,2,1.0,1.0,1.0,0.0,0.0,100,17.82064986228943,1005.939222863623,1005.939222863623,100,130,3,128,piecewise_linear,95001,3,instance-20260504-202505,1777993902059
full_data_amount_n100_rep02_attempt1777993800929_w5,full_data_amount_n100_rep02,data_amount,n100,2,9,1.0,1.0,1.0,0.0,0.0,100,7.298506021499634,911.3081647198834,911.3081647198834,100,130,3,128,piecewise_linear,95002,5,instance-20260505-111334,1777993903984
full_data_amount_n100_rep04_attempt1777993802585_w7,full_data_amount_n100_rep04,data_amount,n100,4,5,1.0,1.0,1.0,0.0,0.0,100,10.829750061035156,926.7040455777482,926.7040455777482,100,130,3,128,piecewise_linear,95004,7,instance-20260504-201725,1777993906500
full_data_amount_n100_rep06_attempt1777993804334_w9,full_data_amount_n100_rep06,data_amount,n100,6,4,1.0,1.0,1.0,0.0,0.0,100,11.705319166183472,939.3755249037142,939.3755249037142,100,130,3,128,piecewise_linear,95006,9,instance-20260501-133020,1777993910628
full_data_amount_n100_rep02_attempt1777993800929_w5,full_data_amount_n100_rep02,data_amount,n100,2,10,1.0,1.0,1.0,0.0,0.0,100,6.87693190574646,910.8489099151116,910.8489099151116,100,130,3,128,piecewise_linear,95002,5,instance-20260505-111334,1777993910981
full_data_amount_n100_rep03_attempt1777993803163_w6,full_data_amount_n100_rep03,data_amount,n100,3,5,1.0,1.0,1.0,0.0,0.0,100,11.145072937011719,970.4670612473161,970.4670612473161,100,130,3,128,piecewise_linear,95003,6,instance-20260501-084214,1777993911887
full_data_amount_n100_rep05_attempt1777993804359_w8,full_data_amount_n100_rep05,data_amount,n100,5,4,1.0,1.0,1.0,0.0,0.0,100,11.877609014511108,962.6466093516003,962.6466093516003,100,130,3,128,piecewise_linear,95005,8,instance-20260501-133020,1777993911991
full_data_amount_n100_rep04_attempt1777993802585_w7,full_data_amount_n100_rep04,data_amount,n100,4,6,1.0,1.0,1.0,0.0,0.0,100,11.346411943435669,923.9430563768251,923.9430563768251,100,130,3,128,piecewise_linear,95004,7,instance-20260504-201725,1777993917873
full_data_amount_n100_rep02_attempt1777993800929_w5,full_data_amount_n100_rep02,data_amount,n100,2,11,1.0,1.0,1.0,0.0,0.0,100,6.879688024520874,910.418710847077,910.418710847077,100,130,3,128,piecewise_linear,95002,5,instance-20260505-111334,1777993917975
full_data_amount_n100_rep01_attempt1777993799672_w3,full_data_amount_n100_rep01,data_amount,n100,1,3,1.0,1.0,1.0,0.0,0.0,100,19.146313905715942,988.8061796624036,988.8061796624036,100,130,3,128,piecewise_linear,95001,3,instance-20260504-202505,1777993921229
full_data_amount_n100_rep06_attempt1777993804334_w9,full_data_amount_n100_rep06,data_amount,n100,6,5,1.0,1.0,1.0,0.0,0.0,100,11.838587999343872,935.801408702058,935.801408702058,100,130,3,128,piecewise_linear,95006,9,instance-20260501-133020,1777993922492
full_data_amount_n100_rep03_attempt1777993803163_w6,full_data_amount_n100_rep03,data_amount,n100,3,6,1.0,1.0,1.0,0.0,0.0,100,11.171510934829712,970.6777781095275,970.6777781095275,100,130,3,128,piecewise_linear,95003,6,instance-20260501-084214,1777993923081
