attempt_id,run_id,phase,candidate_name,replicate,epoch,mu,mu_in,mu_ref,rho_in,rho_ref,iterations,epoch_seconds,training_loss,display_loss,training_contexts,epochs,depth,hidden_size,schedule_kind,seed,worker_id,hostname,created_at
smoke_data_amount_screen_n4_rep01_attempt1778001442668_w4,smoke_data_amount_screen_n4_rep01,data_amount,n4,1,1,1.0,1.0,1.0,0.0,0.0,4,34.781912088394165,2378.7097917392894,2378.7097917392894,4,1,3,128,piecewise_linear,95001,4,instance-20260505-114317,1778001492430
smoke_data_amount_screen_n3_rep01_attempt1778001442980_w3,smoke_data_amount_screen_n3_rep01,data_amount,n3,1,1,1.0,1.0,1.0,0.0,0.0,3,35.33352088928223,2291.7618261365396,2291.7618261365396,3,1,3,128,piecewise_linear,95001,3,instance-20260504-202505,1778001493920
smoke_data_amount_final_n4_rep01_attempt1778001504483_w2,smoke_data_amount_final_n4_rep01,data_amount,n4,1,1,1.0,1.0,1.0,0.0,0.0,4,0.2296149730682373,2378.6113329391233,2378.6113329391233,4,1,3,128,piecewise_linear,95001,2,instance-20260505-143121,1778001504830
smoke_depth_screen_depth3_rep01_attempt1778001507400_w2,smoke_depth_screen_depth3_rep01,depth,depth3,1,1,1.0,1.0,1.0,0.0,0.0,4,0.271481990814209,2378.7506649272927,2378.7506649272927,4,1,3,128,piecewise_linear,95001,2,instance-20260505-143121,1778001507790
smoke_depth_screen_depth4_rep01_attempt1778001507374_w3,smoke_depth_screen_depth4_rep01,depth,depth4,1,1,1.0,1.0,1.0,0.0,0.0,4,3.628709077835083,2378.8457562663775,2378.8457562663775,4,1,4,128,piecewise_linear,95001,3,instance-20260504-202505,1778001511823
smoke_depth_screen_depth5_rep01_attempt1778001507383_w4,smoke_depth_screen_depth5_rep01,depth,depth5,1,1,1.0,1.0,1.0,0.0,0.0,4,4.069889068603516,2378.9354655923617,2378.9354655923617,4,1,5,128,piecewise_linear,95001,4,instance-20260505-114317,1778001512385
smoke_depth_screen_depth10_rep01_attempt1778001514808_w5,smoke_depth_screen_depth10_rep01,depth,depth10,1,1,1.0,1.0,1.0,0.0,0.0,4,27.78623914718628,2378.994437041498,2378.994437041498,4,1,10,128,piecewise_linear,95001,5,instance-20260501-133020,1778001554494
smoke_depth_screen_depth20_rep01_attempt1778001517707_w6,smoke_depth_screen_depth20_rep01,depth,depth20,1,1,1.0,1.0,1.0,0.0,0.0,4,43.62002682685852,2378.9676414844525,2378.9676414844525,4,1,20,128,piecewise_linear,95001,6,instance-20260501-084214,1778001577454
smoke_depth_final_depth3_rep01_attempt1778001586262_w2,smoke_depth_final_depth3_rep01,depth,depth3,1,1,1.0,1.0,1.0,0.0,0.0,4,0.7129640579223633,2378.861208629493,2378.861208629493,4,1,3,128,piecewise_linear,95001,2,instance-20260505-143121,1778001587091
smoke_width_screen_width64_rep01_attempt1778001587757_w3,smoke_width_screen_width64_rep01,width,width64,1,1,1.0,1.0,1.0,0.0,0.0,4,0.3426220417022705,2378.7638476737825,2378.7638476737825,4,1,3,64,piecewise_linear,95001,3,instance-20260504-202505,1778001588124
smoke_width_screen_width32_rep01_attempt1778001587779_w2,smoke_width_screen_width32_rep01,width,width32,1,1,1.0,1.0,1.0,0.0,0.0,4,0.22714710235595703,2378.8763904038206,2378.8763904038206,4,1,3,32,piecewise_linear,95001,2,instance-20260505-143121,1778001588125
smoke_width_screen_width128_rep01_attempt1778001587748_w4,smoke_width_screen_width128_rep01,width,width128,1,1,1.0,1.0,1.0,0.0,0.0,4,0.8509819507598877,2378.710968481185,2378.710968481185,4,1,3,128,piecewise_linear,95001,4,instance-20260505-114317,1778001588733
smoke_width_screen_width256_rep01_attempt1778001587753_w5,smoke_width_screen_width256_rep01,width,width256,1,1,1.0,1.0,1.0,0.0,0.0,4,3.162572145462036,2378.587597185894,2378.587597185894,4,1,3,256,piecewise_linear,95001,5,instance-20260501-133020,1778001591578
smoke_width_screen_width512_rep01_attempt1778001587754_w6,smoke_width_screen_width512_rep01,width,width512,1,1,1.0,1.0,1.0,0.0,0.0,4,3.8401989936828613,2378.3313025026173,2378.3313025026173,4,1,3,512,piecewise_linear,95001,6,instance-20260501-084214,1778001592732
smoke_width_final_width512_rep01_attempt1778001594215_w2,smoke_width_final_width512_rep01,width,width512,1,1,1.0,1.0,1.0,0.0,0.0,4,0.28516602516174316,2378.573268304934,2378.573268304934,4,1,3,512,piecewise_linear,95001,2,instance-20260505-143121,1778001594619
smoke_schedule_shape_screen_cosine_rep01_attempt1778001596401_w5,smoke_schedule_shape_screen_cosine_rep01,schedule_shape,cosine,1,1,1.0,1.0,1.0,0.0,0.0,4,0.2518751621246338,2378.475426388896,2378.475426388896,4,1,3,512,cosine,95001,5,instance-20260501-133020,1778001596687
