phase,selected_candidate,selected_mean_average_test_loss,selected_ok_count,selected_run_count,training_contexts,epochs,final_epochs,depth,hidden_size,activation,schedule_kind,starting_mu,ending_mu,piece_length,nr_pieces,starting_phase_length,fine_tuning_phase_length,decided_at
data_amount,n4,0.9504118385386895,1,1,4,1,0,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,1778001506917
depth,depth3,0.9506843904998659,1,1,4,1,0,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,1778001587703
width,width512,0.9498203599220609,1,1,4,1,0,3,512,relu,piecewise_linear,1.0,0.01,10,11,20,10,1778001595682
schedule_shape,early_quadratic,0.9497386472150819,1,1,4,1,0,3,512,relu,early_quadratic,1.0,0.01,10,11,20,10,1778001663894
piecewise_linear,default,0.9494049387973656,1,1,4,1,0,3,512,relu,piecewise_linear,1.0,0.01,10,11,20,10,1778001718382
