attempt_id,run_id,status,phase,candidate_name,replicate,seed,training_contexts,epochs,final_epochs,depth,hidden_size,activation,schedule_kind,starting_mu,ending_mu,piece_length,nr_pieces,starting_phase_length,fine_tuning_phase_length,average_test_loss,mean_test_relative_regret,mean_test_regret,mean_test_policy_value,mean_test_optimal_value,test_sample_count,training_seconds,evaluation_seconds,total_seconds,worker_id,hostname,pid,started_at,finished_at,error
smoke_data_amount_n2_rep01_attempt1777991978850_w2,smoke_data_amount_n2_rep01,ok,data_amount,n2,1,95001,2,1,0,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.9506758469099958,0.9506758469099958,696.105748420626,1423.7899990410845,727.6842506204584,2.0,41.909528651,3.109774259,47.189,2,instance-20260504-202505,703479,1777991978850,1777992026039,
smoke_data_amount_n3_rep01_attempt1777991982131_w4,smoke_data_amount_n3_rep01,ok,data_amount,n3,1,95001,3,1,0,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.9505263565006592,0.9505263565006592,695.9968395679787,1423.681090188437,727.6842506204584,2.0,37.388249091,5.10526426,44.786,4,instance-20260505-111334,31574,1777991982131,1777992026917,
smoke_data_amount_n4_rep01_attempt1777991985599_w5,smoke_data_amount_n4_rep01,ok,data_amount,n4,1,95001,4,1,0,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.9505425182888905,0.9505425182888905,696.0082985316457,1423.6925491521042,727.6842506204584,2.0,50.514826164,7.046441985,58.706,5,instance-20260501-084214,689528,1777991985599,1777992044305,
smoke_depth_depth3_rep01_attempt1777992047378_w2,smoke_depth_depth3_rep01,ok,depth,depth3,1,95001,3,1,0,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.9507208405208871,0.9507208405208871,696.1393558297808,1423.8236064502394,727.6842506204584,2.0,0.932801619,0.128166645,1.22,2,instance-20260504-202505,703479,1777992047378,1777992048598,
smoke_depth_depth4_rep01_attempt1777992047420_w4,smoke_depth_depth4_rep01,ok,depth,depth4,1,95001,3,1,0,4,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.9505764081615079,0.9505764081615079,696.0331243336914,1423.7173749541498,727.6842506204584,2.0,3.271306882,0.34186559,4.007,4,instance-20260505-111334,31574,1777992047420,1777992051427,
smoke_depth_depth5_rep01_attempt1777992047382_w5,smoke_depth_depth5_rep01,ok,depth,depth5,1,95001,3,1,0,5,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.9506173085682774,0.9506173085682774,696.063389556359,1423.7476401768174,727.6842506204584,2.0,6.515429273,0.615139088,7.352,5,instance-20260501-084214,689528,1777992047382,1777992054734,
smoke_depth_depth20_rep01_attempt1777992054856_w7,smoke_depth_depth20_rep01,ok,depth,depth20,1,95001,3,1,0,20,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.9508424897958184,0.9508424897958184,696.2284690497348,1423.9127196701934,727.6842506204584,2.0,41.960906194,4.937138172,48.331,7,instance-20260501-133020,1720439,1777992054856,1777992103187,
smoke_depth_depth10_rep01_attempt1777992057013_w6,smoke_depth_depth10_rep01,ok,depth,depth10,1,95001,3,1,0,10,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.9507787285515554,0.9507787285515554,696.1814895782096,1423.865740198668,727.6842506204584,2.0,49.198263829,6.196600603,57.007,6,instance-20260504-201725,11502,1777992057013,1777992114020,
smoke_width_width64_rep01_attempt1777992114206_w4,smoke_width_width64_rep01,ok,width,width64,1,95001,3,1,0,4,64,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.9507053080363695,0.9507053080363695,696.1281857774748,1423.8124363979332,727.6842506204584,2.0,0.292050752,0.089644514,0.727,4,instance-20260505-111334,31574,1777992114206,1777992114933,
smoke_width_width512_rep01_attempt1777992114176_w7,smoke_width_width512_rep01,ok,width,width512,1,95001,3,1,0,4,512,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.9501148529185636,0.9501148529185636,695.6950796071598,1423.379330227618,727.6842506204584,2.0,3.319135183,0.888254186,4.371,7,instance-20260501-133020,1720439,1777992114176,1777992118547,
