attempt_id,run_id,phase,candidate_name,replicate,worker_id,hostname,pid,started_at
smoke_depth_screen_depth3_rep01_attempt1778001507400_w2,smoke_depth_screen_depth3_rep01,depth,depth3,1,2,instance-20260505-143121,20214,1778001507400
smoke_depth_screen_depth10_rep01_attempt1778001514808_w5,smoke_depth_screen_depth10_rep01,depth,depth10,1,5,instance-20260501-133020,1865872,1778001514808
smoke_depth_screen_depth20_rep01_attempt1778001517707_w6,smoke_depth_screen_depth20_rep01,depth,depth20,1,6,instance-20260501-084214,865653,1778001517707
smoke_depth_final_depth3_rep01_attempt1778001586262_w2,smoke_depth_final_depth3_rep01,depth,depth3,1,2,instance-20260505-143121,20214,1778001586262
smoke_width_screen_width256_rep01_attempt1778001587753_w5,smoke_width_screen_width256_rep01,width,width256,1,5,instance-20260501-133020,1865872,1778001587753
smoke_width_screen_width512_rep01_attempt1778001587754_w6,smoke_width_screen_width512_rep01,width,width512,1,6,instance-20260501-084214,865653,1778001587754
smoke_width_screen_width64_rep01_attempt1778001587757_w3,smoke_width_screen_width64_rep01,width,width64,1,3,instance-20260504-202505,770304,1778001587757
smoke_width_screen_width128_rep01_attempt1778001587748_w4,smoke_width_screen_width128_rep01,width,width128,1,4,instance-20260505-114317,26170,1778001587748
smoke_width_screen_width32_rep01_attempt1778001587779_w2,smoke_width_screen_width32_rep01,width,width32,1,2,instance-20260505-143121,20214,1778001587779
smoke_width_final_width512_rep01_attempt1778001594215_w2,smoke_width_final_width512_rep01,width,width512,1,2,instance-20260505-143121,20214,1778001594215
smoke_schedule_shape_screen_linear_rep01_attempt1778001596399_w3,smoke_schedule_shape_screen_linear_rep01,schedule_shape,linear,1,3,instance-20260504-202505,770304,1778001596399
smoke_schedule_shape_screen_delayed_quadratic_rep01_attempt1778001596397_w6,smoke_schedule_shape_screen_delayed_quadratic_rep01,schedule_shape,delayed_quadratic,1,6,instance-20260501-084214,865653,1778001596397
smoke_schedule_shape_screen_cosine_rep01_attempt1778001596401_w5,smoke_schedule_shape_screen_cosine_rep01,schedule_shape,cosine,1,5,instance-20260501-133020,1865872,1778001596401
smoke_schedule_shape_screen_geometric_rep01_attempt1778001596411_w4,smoke_schedule_shape_screen_geometric_rep01,schedule_shape,geometric,1,4,instance-20260505-114317,26170,1778001596411
smoke_schedule_shape_screen_piecewise_linear_rep01_attempt1778001596445_w2,smoke_schedule_shape_screen_piecewise_linear_rep01,schedule_shape,piecewise_linear,1,2,instance-20260505-143121,20214,1778001596445
smoke_schedule_shape_screen_early_quadratic_rep01_attempt1778001606062_w7,smoke_schedule_shape_screen_early_quadratic_rep01,schedule_shape,early_quadratic,1,7,instance-20260504-201725,125989,1778001606062
smoke_schedule_shape_final_early_quadratic_rep01_attempt1778001662426_w2,smoke_schedule_shape_final_early_quadratic_rep01,schedule_shape,early_quadratic,1,2,instance-20260505-143121,20214,1778001662426
smoke_piecewise_linear_screen_long_start_rep01_attempt1778001664130_w6,smoke_piecewise_linear_screen_long_start_rep01,piecewise_linear,long_start,1,6,instance-20260501-084214,865653,1778001664130
smoke_piecewise_linear_screen_lower_end_mu_rep01_attempt1778001664132_w3,smoke_piecewise_linear_screen_lower_end_mu_rep01,piecewise_linear,lower_end_mu,1,3,instance-20260504-202505,770304,1778001664132
smoke_piecewise_linear_screen_short_start_rep01_attempt1778001664134_w5,smoke_piecewise_linear_screen_short_start_rep01,piecewise_linear,short_start,1,5,instance-20260501-133020,1865872,1778001664134
smoke_piecewise_linear_screen_more_pieces_rep01_attempt1778001664153_w7,smoke_piecewise_linear_screen_more_pieces_rep01,piecewise_linear,more_pieces,1,7,instance-20260504-201725,125989,1778001664153
smoke_piecewise_linear_screen_higher_end_mu_rep01_attempt1778001664144_w4,smoke_piecewise_linear_screen_higher_end_mu_rep01,piecewise_linear,higher_end_mu,1,4,instance-20260505-114317,26170,1778001664144
smoke_piecewise_linear_screen_default_rep01_attempt1778001664178_w2,smoke_piecewise_linear_screen_default_rep01,piecewise_linear,default,1,2,instance-20260505-143121,20214,1778001664178
smoke_piecewise_linear_screen_long_finetune_rep01_attempt1778001671569_w9,smoke_piecewise_linear_screen_long_finetune_rep01,piecewise_linear,long_finetune,1,9,instance-20260501-133020,1865882,1778001671569
smoke_piecewise_linear_screen_fewer_pieces_rep01_attempt1778001672394_w8,smoke_piecewise_linear_screen_fewer_pieces_rep01,piecewise_linear,fewer_pieces,1,8,instance-20260505-111334,361285,1778001672394
smoke_piecewise_linear_final_default_rep01_attempt1778001716743_w2,smoke_piecewise_linear_final_default_rep01,piecewise_linear,default,1,2,instance-20260505-143121,20214,1778001716743
