phase,candidate_name,run_count,ok_count,failed_count,mean_average_test_loss,std_average_test_loss,min_average_test_loss,max_average_test_loss
width,width128,2,2,0,0.06889940422377666,0.051350747320651896,0.03258894257434677,0.10520986587320655
width,width256,2,2,0,0.0987815698532041,0.052246319421896795,0.061837843097942456,0.13572529660846575
width,width32,2,2,0,0.04992619539955952,0.012206908298413715,0.041294607764428844,0.0585577830346902
width,width512,2,2,0,0.03408868082941721,0.010801999426116498,0.026450513784837044,0.041726847873997386
width,width64,2,2,0,0.10999143634898538,0.10023542255416572,0.039114289345835794,0.18086858335213496
