version,run_id,smoke,stage,phase,candidate_name,replicate,seed,training_contexts,epochs,final_epochs,depth,hidden_size,activation,schedule_kind,starting_mu,ending_mu,piece_length,nr_pieces,starting_phase_length,fine_tuning_phase_length,piecewise_raw_epochs,schedule_resampled,nr_scenarios,batch_size,learning_rate,reset_optimizer_each_epoch,early_stop_enabled,early_stop_epoch,early_stop_training_loss_threshold,early_stop_display_loss_threshold,early_stop_quick_validation_loss_threshold,quick_validation_contexts,mu_in_preview,mu_ref_preview
resource-allocation-annealing-method-sweep-v1,smoke_schedule_shape_screen_piecewise_linear_rep01,true,screen,schedule_shape,piecewise_linear,1,95001,4,1,0,3,512,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0,1.0
resource-allocation-annealing-method-sweep-v1,smoke_schedule_shape_screen_linear_rep01,true,screen,schedule_shape,linear,1,95001,4,1,0,3,512,relu,linear,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0,1.0
resource-allocation-annealing-method-sweep-v1,smoke_schedule_shape_screen_geometric_rep01,true,screen,schedule_shape,geometric,1,95001,4,1,0,3,512,relu,geometric,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0,1.0
resource-allocation-annealing-method-sweep-v1,smoke_schedule_shape_screen_cosine_rep01,true,screen,schedule_shape,cosine,1,95001,4,1,0,3,512,relu,cosine,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0,1.0
resource-allocation-annealing-method-sweep-v1,smoke_schedule_shape_screen_delayed_quadratic_rep01,true,screen,schedule_shape,delayed_quadratic,1,95001,4,1,0,3,512,relu,delayed_quadratic,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0,1.0
resource-allocation-annealing-method-sweep-v1,smoke_schedule_shape_screen_early_quadratic_rep01,true,screen,schedule_shape,early_quadratic,1,95001,4,1,0,3,512,relu,early_quadratic,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0,1.0
resource-allocation-annealing-method-sweep-v1,smoke_schedule_shape_final_early_quadratic_rep01,true,final,schedule_shape,early_quadratic,1,95001,4,1,0,3,512,relu,early_quadratic,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0,1.0
