T,method,OoS
100,SAA,0.0852177027035277
100,LS,1.6096325173797408
100,ER-SAA,0.09527522764887122
100,AD,0.1052164873129672
100,KNN,0.559712909660365
100,M5 + AD,0.4581863153878952
100,CART,2.4221803628607095
100,NN,0.2675383334615649
100,SAA,0.05646017590494589
100,LS,1.907352070345437
100,ER-SAA,0.13816857296714327
100,AD,0.16377729274844027
100,KNN,0.08730892988186445
100,M5 + AD,0.11324820609913913
100,CART,1.4363222218442198
100,NN,0.4259954747940805
100,SAA,0.0763316585744915
100,LS,1.8768880456414276
100,ER-SAA,0.15125668413461835
100,AD,0.17473289951516568
100,KNN,0.2755635342478716
100,M5 + AD,0.5609230533022658
100,CART,2.368651121880961
100,NN,0.653206641235664
100,SAA,0.08703250082343614
100,LS,1.8911639964054494
100,ER-SAA,0.15283632929239682
100,AD,0.16904474973977857
100,KNN,0.09406908701843134
100,M5 + AD,0.12169355000481391
100,CART,1.4763425826537864
100,NN,0.9423352462387727
100,SAA,0.10214036157184349
100,LS,1.5987809860686062
100,ER-SAA,0.09824217569439364
100,AD,0.10839471081530705
100,KNN,0.4421162343450148
100,M5 + AD,0.44959899211226423
100,CART,2.515558081391051
100,NN,0.4070269074815091
