activation,batch_size,candidate_name,data_seed,depth,error,final_training_loss,finished_at,group,hidden_size,knn_k,learning_rate,loss_kind,mean_test_optimal_value,mean_test_policy_value,mean_test_regret,mean_test_relative_regret,model_seed,nr_scenarios,optimality_gap_percent,replicate,reset_optimizer_each_epoch,rho,run_id,schedule_kind,started_at,status,test_policy_eval_seconds,test_sample_count,test_seed,total_epochs,training_seed
silu,1,pure_rho_0p01,202615051,4,,1491.2768748221995,1777976579478,04_pure_quadratic,128,0,0.001,dfl,805.7162362224146,998.558198537549,192.84196231513445,0.24108826303641573,202615052,1,24.10882630364157,1,true,0.01,full_04_pure_quadratic_pure_rho_0p01_rep01,pure_rho,1777972215261,ok,89.673678459,30.0,1,130,202615053
silu,1,pure_rho_0p01,202625051,4,,1339.30591620466,1777976770547,04_pure_quadratic,128,0,0.001,dfl,805.7162362224146,1022.9163714694628,217.20013524704822,0.2668898068830629,202625052,1,26.68898068830629,2,true,0.01,full_04_pure_quadratic_pure_rho_0p01_rep02,pure_rho,1777972347734,ok,113.445748458,30.0,1,130,202625053
silu,1,pure_rho_0p01,202635051,4,,1409.4635579293483,1777977152322,04_pure_quadratic,128,0,0.001,dfl,805.7162362224146,985.5900803867376,179.87384416432297,0.22250799728675932,202635052,1,22.250799728675933,3,true,0.01,full_04_pure_quadratic_pure_rho_0p01_rep03,pure_rho,1777972525453,ok,171.588776291,30.0,1,130,202635053
silu,1,pure_rho_0p01,202645051,4,,1454.23158461187,1777977449950,04_pure_quadratic,128,0,0.001,dfl,805.7162362224146,1031.1367804910199,225.42054426860517,0.281758742993723,202645052,1,28.1758742993723,4,true,0.01,full_04_pure_quadratic_pure_rho_0p01_rep04,pure_rho,1777972566927,ok,98.443992708,30.0,1,130,202645053
silu,1,pure_rho_0p01,202655051,4,,1400.4164762176906,1777977546194,04_pure_quadratic,128,0,0.001,dfl,805.7162362224146,986.7902654123787,181.0740291899641,0.22464507244018883,202655052,1,22.464507244018883,5,true,0.01,full_04_pure_quadratic_pure_rho_0p01_rep05,pure_rho,1777972604684,ok,84.628811208,30.0,1,130,202655053
silu,1,pure_rho_0p03,202615051,4,,2142.5030070871403,1777977714553,04_pure_quadratic,128,0,0.001,dfl,805.7162362224146,1005.4777733939337,199.76153717151945,0.2465025655602186,202615052,1,24.65025655602186,1,true,0.03,full_04_pure_quadratic_pure_rho_0p03_rep01,pure_rho,1777972862838,ok,92.566863125,30.0,1,130,202615053
silu,1,pure_rho_0p03,202625051,4,,1896.3601257059472,1777977948085,04_pure_quadratic,128,0,0.001,dfl,805.7162362224146,1012.7230270608692,207.0067908384546,0.2559839791197669,202625052,1,25.59839791197669,2,true,0.03,full_04_pure_quadratic_pure_rho_0p03_rep02,pure_rho,1777973056772,ok,95.707515875,30.0,1,130,202625053
silu,1,pure_rho_0p03,202635051,4,,2009.2173180000752,1777978366635,04_pure_quadratic,128,0,0.001,dfl,805.7162362224146,1009.3752511046987,203.6590148822841,0.2500668991572589,202635052,1,25.00668991572589,3,true,0.03,full_04_pure_quadratic_pure_rho_0p03_rep03,pure_rho,1777973175581,ok,106.085813041,30.0,1,130,202635053
silu,1,pure_rho_0p03,202645051,4,,2103.9125004320254,1777978512092,04_pure_quadratic,128,0,0.001,dfl,805.7162362224146,1012.4086723579314,206.69243613551686,0.24928138919131465,202645052,1,24.928138919131467,4,true,0.03,full_04_pure_quadratic_pure_rho_0p03_rep04,pure_rho,1777973402371,ok,188.00500825,30.0,1,130,202645053
silu,1,pure_rho_0p03,202655051,4,,1996.482012667843,1777978172513,04_pure_quadratic,128,0,0.001,dfl,805.7162362224146,1008.3709296680404,202.6546934456257,0.25221963141830367,202655052,1,25.22196314183037,5,true,0.03,full_04_pure_quadratic_pure_rho_0p03_rep05,pure_rho,1777973425244,ok,57.373510042,30.0,1,130,202655053
