phase,rank,candidate_name,screening_run_count,screening_ok_count,screening_failed_count,screening_mean_average_test_loss,screening_std_average_test_loss,selected_at
depth,1,depth10,2,2,0,0.045082748946843734,0.012650669361523557,1778014052854
depth,2,depth3,2,2,0,0.052808062802912475,0.03703549227086534,1778014052854
